distance_threshold,n_sectors,n_same_basin,n_diff_basin,same_basin_theta_distance,diff_basin_theta_distance,same_basin_theta_to_x0,diff_basin_theta_to_x0
0.4052631578947369,418,418,0,0.0,0.0,0.0,0.0
0.5578947368421052,2968,2968,0,0.0,0.0,0.0,0.0
0.7105263157894737,3581,3581,0,0.0,0.0,0.0,0.0
0.8631578947368421,3585,3585,0,0.0,0.0,0.0,0.0
1.0157894736842106,3585,3585,0,0.0,0.0,0.0,0.0
1.168421052631579,3586,3586,0,0.0,0.0,0.0,0.0
1.3210526315789475,3620,3586,34,0.0,8.281620253677652,0.0,84.12351940283719
1.473684210526316,4878,3586,1292,0.0,1.7510147875655055,0.0,81.03505158068153
1.6263157894736844,7408,3586,3822,0.0,4.550362128446481,0.0,82.07531520611019
1.7789473684210528,8138,3586,4552,0.0,16.171286948786648,0.0,89.12531746631072
1.931578947368421,8965,3586,5379,0.0,27.26716998507577,0.0,98.47321038839476
2.0842105263157893,9345,3586,5759,0.0,30.662440188609043,0.0,101.87385226553143
2.236842105263158,9412,3586,5826,0.0,30.382417903781555,0.0,102.42743580575353
2.3894736842105266,9412,3586,5826,0.0,30.382417903781555,0.0,102.42743580575353
2.542105263157895,9412,3586,5826,0.0,30.382417903781555,0.0,102.42743580575353
2.694736842105263,9412,3586,5826,0.0,30.382417903781555,0.0,102.42743580575353
2.8473684210526318,9412,3586,5826,0.0,30.382417903781555,0.0,102.42743580575353
3.0,9412,3586,5826,0.0,30.382417903781555,0.0,102.42743580575353
