sigma,ell,seed,n_trajectories,n_vacua,n_sectors,global_kl,isr_kl,improvement_ratio,isr_wins,lambda_eff,basin_exception_rate,multi_basin
1.0,0.1,2,2000,5,2000,0.0016920346004270503,1.4210854708096582e-24,1.1906634999674016e+21,True,2.000000000000002,0.0,True
1.0,0.1,3,2000,5,2000,0.0010338939495570364,1.4210854708096576e-24,7.275381887959065e+20,True,2.0000000000000027,0.0,True
1.0,0.1,4,2000,4,2000,0.0016146789631251795,0.0,,False,1.999999999999999,0.0,True
1.0,0.1,5,2000,4,2000,0.0017273679789116983,0.0,,False,1.9999999999999987,0.0,True
1.0,0.25,1,2000,5,2000,0.00351824513854764,4.906405816315171e-09,717071.7772363002,True,1.9999997529742475,0.0,True
1.0,0.25,2,2000,5,2000,0.0016920346004270503,5.7925012423264605e-09,292107.7665142586,True,1.999999709402258,0.0,True
1.0,0.25,3,2000,5,2000,0.0010338939495570364,2.6752050947108252e-08,38647.277982580046,True,1.999999712718154,0.0,True
1.0,0.25,4,2000,4,2000,0.0016146789631251795,6.802641491918358e-09,237360.58486154868,True,1.999999780819086,0.0,True
1.0,0.25,5,2000,4,2000,0.0017273679789116983,1.0672668098421695e-08,161849.68585007777,True,1.999999722757142,0.0,True
1.0,0.5,1,2000,5,2000,0.00351824513854764,8.552610196115762e-06,411.36507544158627,True,1.9863208630195648,0.0,True
1.0,0.5,2,2000,5,2000,0.0016920346004270503,1.041626784627027e-05,162.44154100097506,True,1.9859564845517388,0.0,True
1.0,0.5,3,2000,5,2000,0.0010338939495570364,2.8172386058279028e-05,36.698842171843864,True,1.9867232242155524,0.0,True
1.0,0.5,4,2000,4,2000,0.0016146789631251795,2.101088391055339e-05,76.84964468887266,True,1.9871469197412313,0.0,True
1.0,0.5,5,2000,4,2000,0.0017273679789116983,6.820673193585434e-05,25.325476384592328,True,1.9874645276961036,0.0,True
1.0,1.0,1,2000,5,2000,0.00351824513854764,0.001029795964124343,3.416448754039619,True,1.7592054877121182,0.0025057632554876213,True
1.0,1.0,2,2000,5,2000,0.0016920346004270503,0.0004160525819516754,4.066876817564325,True,1.7609063831546645,0.005733005733005733,True
1.0,1.0,3,2000,5,2000,0.0010338939495570364,0.0002773533574873525,3.727713841013022,True,1.7635423528402694,0.007979253939756632,True
1.0,1.0,4,2000,4,2000,0.0016146789631251795,9.55279298458393e-05,16.902689775973474,True,1.765224083683473,0.0021046301864101023,True
1.0,1.0,5,2000,4,2000,0.0017273679789116983,0.0009930271778827184,1.739497183344673,True,1.776812469048828,0.005226651035560766,True
1.0,2.0,1,2000,5,2000,0.00351824513854764,0.0025349750470748545,1.387881566174545,True,1.5721261373478042,0.42862064016075785,True
1.0,2.0,2,2000,5,2000,0.0016920346004270503,0.001010997049713766,1.6736296123773065,True,1.5790218722706053,0.4134932363305672,True
1.0,2.0,3,2000,5,2000,0.0010338939495570364,0.0005466679979710382,1.8912648140998567,True,1.5746100629021216,0.4323869310886004,True
1.0,2.0,4,2000,4,2000,0.0016146789631251795,0.0005094814353008236,3.16925966531399,True,1.5757415948400775,0.4335049640144511,True
1.0,2.0,5,2000,4,2000,0.0017273679789116983,0.0014434622234885878,1.196683883238012,True,1.594253163701343,0.42798157406887255,True
1.5,0.1,1,2000,6,2000,0.0011776714516239686,0.0,,False,1.9999999999999984,0.0,True
1.5,0.1,2,2000,5,2000,0.0014999313703490218,1.421085470809658e-24,1.0554828693691742e+21,True,2.0000000000000013,0.0,True
1.5,0.1,3,2000,6,2000,0.0005416746085206781,0.0,,False,1.9999999999999987,0.0,True
1.5,0.1,4,2000,6,2000,0.0006108017977137655,0.0,,False,2.0,0.0,True
1.5,0.1,5,2000,6,2000,0.0013568046510749063,0.0,,False,2.000000000000001,0.0,True
1.5,0.25,1,2000,6,2000,0.0011776714516239686,6.9586658099083026e-09,169238.11026347984,True,1.9999996794415016,0.0,True
1.5,0.25,2,2000,5,2000,0.0014999313703490218,7.61514214584468e-09,196966.9563118375,True,1.9999996371543085,0.0,True
1.5,0.25,3,2000,6,2000,0.0005416746085206781,3.555195500117446e-10,1523614.126150823,True,1.9999996970252447,0.0,True
1.5,0.25,4,2000,6,2000,0.0006108017977137655,1.1476231921018179e-08,53223.200952841566,True,1.9999996528588464,0.0,True
1.5,0.25,5,2000,6,2000,0.0013568046510749063,1.2909720571549826e-08,105099.45924507493,True,1.9999996642983884,0.0,True
1.5,0.5,1,2000,6,2000,0.0011776714516239686,1.9996712046462224e-06,588.932544954219,True,1.9814815923997116,0.0,True
1.5,0.5,2,2000,5,2000,0.0014999313703490218,1.4483205460286439e-05,103.56349459115918,True,1.981520218561563,0.0,True
1.5,0.5,3,2000,6,2000,0.0005416746085206781,1.2409624420127205e-06,436.49557003686147,True,1.9822040669888052,0.0,True
1.5,0.5,4,2000,6,2000,0.0006108017977137655,1.2271222910475787e-05,49.77513668929702,True,1.9820467139615319,0.0,True
1.5,0.5,5,2000,6,2000,0.0013568046510749063,6.36294862730882e-05,21.323520439120074,True,1.9825262025846206,0.0,True
1.5,1.0,1,2000,6,2000,0.0011776714516239686,0.00013320564535451257,8.841002560287306,True,1.6749342223467356,0.004043869860915385,True
1.5,1.0,2,2000,5,2000,0.0014999313703490218,0.00036911178328711555,4.063623645366781,True,1.6845104326605722,0.0076681560198043714,True
1.5,1.0,3,2000,6,2000,0.0005416746085206781,5.203789911477871e-05,10.409232842508107,True,1.6790818825441147,0.008519961051606621,True
1.5,1.0,4,2000,6,2000,0.0006108017977137655,0.00029360671751895145,2.0803399965613525,True,1.6781739798231403,0.003952325078737726,True
1.5,1.0,5,2000,6,2000,0.0013568046510749063,0.0008910295741706516,1.5227380666211745,True,1.6846703744083884,0.006015960712093309,True
1.5,2.0,1,2000,6,2000,0.0011776714516239686,0.00043614256920190017,2.70019836352823,True,1.4422557096489608,0.4717085378140336,True
1.5,2.0,2,2000,5,2000,0.0014999313703490218,0.0007555506572042717,1.9852161546641316,True,1.4554149738518922,0.46406443618339527,True
1.5,2.0,3,2000,6,2000,0.0005416746085206781,0.00012485254094733023,4.338514894536161,True,1.4417541665309643,0.4822018815153827,True
1.5,2.0,4,2000,6,2000,0.0006108017977137655,0.00042131681673628605,1.4497446421562692,True,1.441037043156458,0.4825307196252687,True
1.5,2.0,5,2000,6,2000,0.0013568046510749063,0.0010710960862409984,1.26674410307725,True,1.4463477353626863,0.48671780891396693,True
2.0,0.1,1,2000,6,2000,0.0016365389237151494,1.7763568383344387e-24,9.212895114303799e+20,True,1.9999999999999984,0.0,True
2.0,0.1,2,2000,6,2000,0.0025342692806052634,0.0,,False,2.0000000000000004,0.0,True
