cutoff,kl_divergence,wasserstein_distance
100,,
250,0.025891748109793677,0.10999999999999988
500,0.009468664936783912,0.06600000000000004
1000,0.0021406320960068175,0.020000000000000018
2500,0.001172635804812347,0.0192000000000001
5000,0.0007655324058821395,0.021200000000000056
10000,0.0003581783760729562,0.009300000000000008
